image,palette,size,order,radius,support_size,angle_deg,backend,kernel_max_abs_error,kernel_rmse,response_max_abs_error,response_mean_abs_error,response_rmse,response_p99_abs_error,response_relative_max_error,response_correlation,time_gxy_s,time_direct_s
example_images/synthetic_nested_shapes/clean/2048/nested_star_square_oval_warm_cool_midtones_2048.png,warm_cool_midtones,2048,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,6.891787052154541e-08,1.4631890910622278e-09,4.478658432259655e-09,2.2351741790771484e-08,2.8060133928744097e-06,0.9999999999990753,0.24568175012245774,0.23999550007283688
example_images/synthetic_nested_shapes/clean/4096/nested_star_square_oval_dark_light_steps_4096.png,dark_light_steps,4096,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,1.5832483768463135e-07,1.2450073077748397e-09,5.906747200479883e-09,2.7008354663848877e-08,4.6777709243847684e-06,0.9999999999987667,0.9680500840768218,0.9596851670648903
example_images/synthetic_nested_shapes/clean/4096/nested_star_square_oval_garnet_atlantic_grass_4096.png,garnet_atlantic_grass,4096,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,8.195638656616211e-08,9.416695383431032e-10,3.692277459516208e-09,1.7695128917694092e-08,2.686630283586649e-06,0.9999999999994914,0.9679259578697383,0.9584943330846727
example_images/synthetic_nested_shapes/clean/4096/nested_star_square_oval_low_contrast_cool_colors_4096.png,low_contrast_cool_colors,4096,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,6.740447133779526e-08,1.7063169094181517e-09,4.397335653755079e-09,2.4650944396853447e-08,1.8869391676232265e-05,0.9999999998869059,0.9704898749478161,0.9587350001093
example_images/synthetic_nested_shapes/clean/4096/nested_star_square_oval_low_contrast_gray_4096.png,low_contrast_gray,4096,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,8.568167686462402e-08,1.0334417863643597e-09,4.997909642168352e-09,2.421438694000244e-08,7.332127357777052e-06,0.9999999999816979,0.9738989588804543,0.9634219170548022
example_images/synthetic_nested_shapes/clean/4096/nested_star_square_oval_low_contrast_mixed_chroma_4096.png,low_contrast_mixed_chroma,4096,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,6.877235136926174e-08,1.099764469946755e-09,4.2320946523017275e-09,2.223532646894455e-08,3.10643729529459e-05,0.9999999997482325,0.9729366658721119,0.9589515421539545
example_images/synthetic_nested_shapes/clean/4096/nested_star_square_oval_low_contrast_warm_colors_4096.png,low_contrast_warm_colors,4096,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,9.802170097827911e-08,1.1969068470303782e-09,5.758406493255793e-09,2.828892320394516e-08,2.1494455910990693e-05,0.9999999998805835,0.9798666671849787,0.960363833932206
example_images/synthetic_nested_shapes/clean/4096/nested_star_square_oval_warm_cool_midtones_4096.png,warm_cool_midtones,4096,2,25,1960,23.5,metal,1.3552527156068805e-20,2.0200248362254633e-21,6.891787052154541e-08,9.744981465061232e-10,3.2162400958679566e-09,1.586158759891987e-08,2.8060133928744097e-06,0.9999999999990667,0.9726321659982204,0.9675420001149178
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_dark_light_steps_1024.png,dark_light_steps,1024,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,1.4901161193847656e-07,2.3113224034465078e-09,7.00847574560432e-09,3.3527612686157227e-08,2.3851997402040443e-06,0.9999999999997818,0.07292320788837969,0.06232937495224178
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_garnet_atlantic_grass_1024.png,garnet_atlantic_grass,1024,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,9.872019290924072e-08,2.031928915305581e-09,5.849578518055626e-09,2.8405338525772095e-08,1.7532583313678094e-06,0.9999999999997594,0.060829499969258904,0.06071699992753565
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_low_contrast_cool_colors_1024.png,low_contrast_cool_colors,1024,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,5.611218512058258e-08,3.112003258710907e-09,4.7261044504205186e-09,1.932494342327118e-08,8.369280725261725e-06,0.9999999999811916,0.07075225003063679,0.06104012508876622
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_low_contrast_gray_1024.png,low_contrast_gray,1024,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,5.8673322200775146e-08,2.7233713999873937e-09,4.3389703819239005e-09,1.862645149230957e-08,2.802277691307495e-06,0.9999999999981157,0.07160075008869171,0.060878457967191935
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_low_contrast_mixed_chroma_1024.png,low_contrast_mixed_chroma,1024,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,4.237517714500427e-08,2.477941753444067e-09,4.610592029490963e-09,2.176966518163681e-08,1.013635175323798e-05,0.9999999999527596,0.060704332776367664,0.060860916040837765
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_low_contrast_warm_colors_1024.png,low_contrast_warm_colors,1024,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,5.2619725465774536e-08,2.0760271679235044e-09,4.481621667260805e-09,2.0139850676059723e-08,6.199359326387491e-06,0.9999999999906676,0.06611062516458333,0.06080887489952147
example_images/synthetic_nested_shapes/clean/1024/nested_star_square_oval_warm_cool_midtones_1024.png,warm_cool_midtones,1024,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,1.1920928955078125e-07,2.347251916065006e-09,7.182770104107782e-09,3.725290298461914e-08,2.6295579072203222e-06,0.999999999999361,0.06089124991558492,0.061037333216518164
example_images/synthetic_nested_shapes/clean/2048/nested_star_square_oval_dark_light_steps_2048.png,dark_light_steps,2048,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,1.3783574104309082e-07,1.3638561185086628e-09,5.234021388109242e-09,2.60770320892334e-08,2.205505418390339e-06,0.999999999999763,0.2400813337881118,0.24013133300468326
example_images/synthetic_nested_shapes/clean/2048/nested_star_square_oval_garnet_atlantic_grass_2048.png,garnet_atlantic_grass,2048,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,9.872019290924072e-08,1.181468275429468e-09,4.161170086112759e-09,2.2351741790771484e-08,1.7526193060870916e-06,0.9999999999997599,0.24570104200392962,0.2403920830693096
example_images/synthetic_nested_shapes/clean/2048/nested_star_square_oval_low_contrast_cool_colors_2048.png,low_contrast_cool_colors,2048,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,5.7159923017024994e-08,2.6311685165629563e-09,3.6962518929154893e-09,1.5133991837501526e-08,7.794443599914099e-06,0.9999999999797801,0.2532391659915447,0.24019962502643466
example_images/synthetic_nested_shapes/clean/2048/nested_star_square_oval_low_contrast_gray_2048.png,low_contrast_gray,2048,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,6.332993507385254e-08,2.21218234838283e-09,3.398868513778241e-09,1.4901161193847656e-08,2.669249034261774e-06,0.9999999999981286,0.2520371659193188,0.24016829207539558
example_images/synthetic_nested_shapes/clean/2048/nested_star_square_oval_low_contrast_mixed_chroma_2048.png,low_contrast_mixed_chroma,2048,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,4.272442311048508e-08,1.8887665273527035e-09,3.414133247364546e-09,1.7095771909225732e-08,1.0336066936707446e-05,0.9999999999516783,0.24663529079407454,0.240265459055081
example_images/synthetic_nested_shapes/clean/2048/nested_star_square_oval_low_contrast_warm_colors_2048.png,low_contrast_warm_colors,2048,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,5.192123353481293e-08,1.613653685828908e-09,3.4283943380709196e-09,1.542684913147241e-08,5.974208564711127e-06,0.9999999999898971,0.24474958307109773,0.24033854086883366
example_images/synthetic_nested_shapes/clean/2048/nested_star_square_oval_warm_cool_midtones_2048.png,warm_cool_midtones,2048,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,1.1920928955078125e-07,1.3711121148107852e-09,5.128454662824009e-09,2.60770320892334e-08,2.6285997235698817e-06,0.9999999999993514,0.24563491600565612,0.24364841682836413
example_images/synthetic_nested_shapes/clean/4096/nested_star_square_oval_dark_light_steps_4096.png,dark_light_steps,4096,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,1.341104507446289e-07,8.246731591093414e-10,3.757295089201147e-09,1.862645149230957e-08,2.1455308830099225e-06,0.9999999999997573,0.9671130829956383,0.9645562919322401
example_images/synthetic_nested_shapes/clean/4096/nested_star_square_oval_garnet_atlantic_grass_4096.png,garnet_atlantic_grass,4096,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,9.872019290924072e-08,7.438069346295371e-10,2.9657862803769565e-09,1.4901161193847656e-08,1.75232007177503e-06,0.9999999999997587,0.9690769158769399,0.9629691659938544
example_images/synthetic_nested_shapes/clean/4096/nested_star_square_oval_low_contrast_cool_colors_4096.png,low_contrast_cool_colors,4096,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,5.704350769519806e-08,2.3839061973298907e-09,3.0427312340739743e-09,1.123407855629921e-08,8.439836607519144e-06,0.999999999974727,0.9670565000269562,0.9622915000654757
example_images/synthetic_nested_shapes/clean/4096/nested_star_square_oval_low_contrast_gray_4096.png,low_contrast_gray,4096,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,5.8673322200775146e-08,1.9315941628817044e-09,2.7625262646343756e-09,1.0652001947164536e-08,2.708560909773795e-06,0.9999999999979187,0.9664141670800745,0.9603789581451565
example_images/synthetic_nested_shapes/clean/4096/nested_star_square_oval_low_contrast_mixed_chroma_4096.png,low_contrast_mixed_chroma,4096,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,4.272442311048508e-08,1.5788460027124784e-09,2.5929293566614905e-09,1.2034433893859386e-08,1.033930267009815e-05,0.9999999999485841,0.977944458136335,0.9651766668539494
example_images/synthetic_nested_shapes/clean/4096/nested_star_square_oval_low_contrast_warm_colors_4096.png,low_contrast_warm_colors,4096,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,5.2852556109428406e-08,1.3635208518782345e-09,2.7365983625981863e-09,1.1175870895385742e-08,6.20032027522211e-06,0.9999999999877729,0.9647607919760048,0.9595005419105291
example_images/synthetic_nested_shapes/clean/4096/nested_star_square_oval_warm_cool_midtones_4096.png,warm_cool_midtones,4096,4,25,1960,23.5,metal,2.710505431213761e-20,6.0266614571769306e-21,1.2293457984924316e-07,8.686858828224789e-10,3.693444988914352e-09,1.6763806343078613e-08,2.7102806117776806e-06,0.9999999999993395,0.9639537921175361,0.9585766671225429
